"SV Tag","Requirement text","Name","To Date","From Date","Program Field","Source","Status","Traced-from","Traced-to","Unique ID","Program Field Type","Service Level Description","Deprecated","Service Type","RootTag#"
"SV6.5","A public service provided to property owners and developers offering Condominium compliance prior to applying for a Building Permit.","Condominium Approval","","2/22/2010","","KPMG","Active","PGSV60","","1933","","","false","Public","6"
"SV6.6","A public service provided to property owners and developers offering Part Lot Control compliance prior to applying for a Building Permit.","Part Lot Control Approval","","2/22/2010","","KPMG","Active","PGSV61","","1934","","","false","Public","6"
"SV6.7","A public service provided to property owners and developers offering Committee of Adjustment compliance prior to applying for a Building Permit.","Committee of Adjustment Approval","","2/22/2010","","KPMG","Active","PGSV62","","1935","","","false","Public","6"
"SV6.8","A public service provided to property owners and developers offering Committee of Adjustment compliance prior to applying for a Building Permit.","Heritage Demolition & Alteration Approval","","2/22/2010","","KPMG","Active","PGSV63","","1936","","","false","Public","6"
"SV7","A public service provided to property owners and developers offering compliance with applicable building code and regulations.","Building Permission","","2/22/2010","","KPMG","Active","","","1808","","","false","Public","7"
"SV7.1","A public service provided to property owners and developers offering advice on how to comply with applicable zoning and building regulations and/or by-laws.","Preliminary Project Review","","2/22/2010","","KPMG","Active","","","1937","","","false","Public","7"
"SV7.2","","Pre-Application Applicable Law Review","","2/22/2010","","KPMG","Active","","","1938","","","false","Public","7"
"SV7.3","A public service provided to property owners and developers offering compliance with the Building Code for a proposed new building.","Construction Permission","","2/22/2010","","KPMG","Active","","","1939","","","false","Public","7"
"SV7.4","A pubic service provided to property owners and developers offering compliance with applicable building code and regulations for a proposed building demolition.","Demolition Permission","","2/22/2010","","KPMG","Active","","","1940","","","false","Public","7"
"SV7.5","A pubic service provided to property owners and developers offering compliance with applicable building code and regulations for a proposed building alteration.","Alteration Permission","","2/22/2010","","KPMG","Active","","","1941","","","false","Public","7"
"SV7.6","A public service provided to commercial establishments offering compliance with applicable building code and regulations for a proposed sign installation / erection.","Sign Permission","","2/22/2010","","KPMG","Active","","","1942","","","false","Public","7"
"SV7.7","A public service provided to property owners and developers offering compliance with applicable building code and regulations for a proposed change in use to an existing building and/or unit.","Change of Use Permission","","2/22/2010","","KPMG","Active","","","1943","","","false","Public","7"
"SV7.8","A public service provided to adjacent property owners offering compliance with applicable building code and regulations for a proposed fence construction.","Fence Permission","","2/22/2010","","KPMG","Active","","","1944","","","false","Public","7"
"SV8","A public service provided to property owners and their agents offering information regarding applicable building regulations.","Building Regulation & Construction Advisory","","2/22/2010","","KPMG","Active","","","1809","","","false","Public","8"
"SV8.1","A public service provided to property owners and their agents offering information regarding the compliance of a property with applicable building regulations.","Building Record Information Provision","","2/22/2010","","KPMG","Active","","","1945","","","false","Public","8"
"SV8.2","A public service provided to current and prospective property owners offering information regarding the compliance of a property with applicable building regulations.","Building Regulation Compliance Notification","","2/22/2010","","KPMG","Active","","","1946","","","false","Public","8"
"SV9","A public service provided to property owners offering inspection of their building for compliance with applicable zoning and building regulations.","Building Inspection","","2/22/2010","","KPMG","Active","","","1810","","","false","Public","9"
"SV9.1","A public service provided to property owners offering inspection on a scheduled basis of their building for compliance with applicable zoning and building regulations.","Scheduled Building Inspection","","2/22/2010","","KPMG","Active","","","1947","","","false","Public","9"
"SV9.2","","Complaint Initiated Building Inspection","","2/22/2010","","KPMG","Active","","","1948","","","false","Public","9"
"SV10","A public service provided to property owners and occupants providing a civic address to property for convenient access by service providers.","Civic Addressing","","2/22/2010","","KPMG","Active","","","1811","","","false","Public","10"
"SV10.1","A public service provided to property owners fronting on a public highway offering identification of the street name, including the renaming of the street.","Street Naming","","2/22/2010","","KPMG","Active","","","1949","","","false","Public","10"
"SV10.2","A public service provided to property owners and occupants providing a civic address to property for convenient access by service providers.","Street Numbering","","2/22/2010","","KPMG","Active","","","1950","","","false","Public","10"
"SV11","A public service provided to property owners offering incentives to develop their land and/or buildings.","Property Development Incentive Funding","","2/22/2010","","KPMG","Active","","","1812","","","false","Public","11"
"SV11.1","","Community Improvement Plan Incentive","","2/22/2010","","KPMG","Active","","","1951","","","false","Public","11"
"SV11.2","","Building Permit Fees / Charges Waiving","","2/22/2010","","KPMG","Active","","","1952","","","false","Public","11"
"SV11.3","","Property Tax Reduction","","2/22/2010","","KPMG","Active","","","1953","","","false","Public","11"
"SV11.4","","Brownfield Redevelopment Incentive Funding","","2/22/2010","","KPMG","Active","","","1954","","","false","Public","11"
"SV11.5","","Business Improvement Area Support","","2/22/2010","","KPMG","Active","","","1955","","","false","Public","11"
"SV11.6","","Heritage Incentive Funding","","2/22/2010","","KPMG","Active","","","1956","","","false","Public","11"
"SV12","A public service provided to businesses offering acknowledgement that they operate in “My Municipality.","Business Licensing","","2/22/2010","","KPMG","Active","","","1813","","","false","Public","12"
"SV12.1","A public service provided to retail businesses offering licensing of their retail establishment in accordance with applicable licensing regulations / by-laws.","Retail Business Licensing","","2/22/2010","","KPMG","Active","","","1957","","","false","Public","12"
"SV12.2","A public service provided to taxi cab companies, taxi drivers and taxi cab occupants offering safe, clean taxi cab operations.","Taxi Cab / Driver Licensing","","2/22/2010","","KPMG","Active","PGSV64","","1958","","","false","Public","12"
"SV12.3","","Livery Limousine Licensing","","2/22/2010","","KPMG","Active","PGSV65","","1959","","","false","Public","12"
"SV12.4","","Tow Truck Licensing","","2/22/2010","","KPMG","Active","PGSV66","","1960","","","false","Public","12"
"SV12.5","","Charitable Gaming Licensing","","2/22/2010","","KPMG","Active","","","1961","","","false","Public","12"
"SV12.6","","Liquor Establishment Licensing","","2/22/2010","","KPMG","Active","","","1962","","","false","Public","12"
"SV12.7","","Occupational Licensing","","2/22/2010","","KPMG","Active","","","1963","","","false","Public","12"
"SV12.8","","Right-of-Way Occupancy Permission","","2/22/2010","","KPMG","Active","","","1964","","","false","Public","12"
"SV12.9","","Clothing Drop Box Permission","","2/22/2010","","KPMG","Active","","","1965","","","false","Public","12"
"SV12.10","","Temporary Sign Permission","","2/22/2010","","KPMG","Active","","","1966","","","false","Public","12"
"SV12.11","","Noise Exemption Permission","","2/22/2010","","KPMG","Active","","","1967","","","false","Public","12"
"SV12.12","","Natural Garden Exemption Permission","","2/22/2010","","KPMG","Active","","","1968","","","false","Public","12"
"SV12.13","","Fence Exemption Permission","","2/22/2010","","KPMG","Active","","","1969","","","false","Public","12"
"SV12.14","","Graffiti Art Mural Exemption Permission","","2/22/2010","","KPMG","Active","","","1970","","","false","Public","12"
"SV12.15","","Fireworks Permission","","2/22/2010","","KPMG","Active","PGSV68","","1971","","","false","Public","12"
"SV12.16","","Group Home Licensing","","2/22/2010","","KPMG","Active","","","1972","","","false","Public","12"
"SV12.17","","Rooming House Licensing","","2/22/2010","","KPMG","Active","","","1973","","","false","Public","12"
"SV13","A public service provided to non-resident businesses offering access to information about “My Municipality’s” attributes as a business location in an effort to attract those businesses to “My Municipality”.","Business Attraction","","2/22/2010","","KPMG","Active","PGSV69","","1814","","","false","Public","13"
"SV13.1","","Trade Show Promotion and Hosting","","2/22/2010","","KPMG","Active","PGSV70","","1974","","","false","Public","13"
"SV13.2","","Business Market Research","","2/22/2010","","KPMG","Active","PGSV71","","1975","","","false","Public","13"
"SV13.3","","International Business Promotion","","2/22/2010","","KPMG","Active","PGSV72","","1976","","","false","Public","13"
"SV13.4","","Property Sale Negotiation Support","","2/22/2010","","KPMG","Active","PGSV73","","1977","","","false","Public","13"
"SV13.5","","Prospective Business Support","","2/22/2010","","KPMG","Active","PGSV74","","1978","","","false","Public","13"
"SV14","A public service provided to existing businesses in “My Municipality” offering advice, expertise, information and networks in how to grow their business operations.","Business Retention and Expansion Support","","2/22/2010","","KPMG","Active","PGSV75","","1815","","","false","Public","14"
"SV14.1","","Trade Show Promotion and Hosting","","2/22/2010","","KPMG","Active","","","1979","","","false","Public","14"
"SV14.2","","Business Market Research","","2/22/2010","","KPMG","Active","","","1980","","","false","Public","14"
"SV14.3","","Small Business Advisory","","2/22/2010","","KPMG","Active","PGSV76","","1981","","","false","Public","14"
"SV14.4","","Business Consultation and Support","","2/22/2010","","KPMG","Active","PGSV77","","1982","","","false","Public","14"
"SV15","A public service provided to tourists and tourism operators offering information about the opportunities available in “My Municipality” for tourist visits.","Tourism Promotion","","2/22/2010","","KPMG","Active","PGSV78","","1816","","","false","Public","15"
"SV15.1","","Tourism Promotional Material Development","","2/22/2010","","KPMG","Active","PGSV79","","1983","","","false","Public","15"
"SV15.2","","Tourism Venue Plan Development","","2/22/2010","","KPMG","Active","PGSV80","","1984","","","false","Public","15"
"SV15.3","","Tourism Event Bid Presentation","","2/22/2010","","KPMG","Active","PGSV81","","1985","","","false","Public","15"
"SV15.4","","Tourism Market Research","","2/22/2010","","KPMG","Active","PGSV82","","1986","","","false","Public","15"
"SV15.5","","Tourism Event Attendance Building","","2/22/2010","","KPMG","Active","PGSV83","","1987","","","false","Public","15"
"SV15.6","","Tourism Event Familiarization Touring","","2/22/2010","","KPMG","Active","PGSV84","","1988","","","false","Public","15"
"SV15.7","","Tourism In-Market Reception","","2/22/2010","","KPMG","Active","PGSV85","","1989","","","false","Public","15"
"SV15.8","","Tourism Marketing and Promotion","","2/22/2010","","KPMG","Active","PGSV86","","1990","","","false","Public","15"
"SV15.9","","Tourism Site Inspection","","2/22/2010","","KPMG","Active","PGSV87","","1991","","","false","Public","15"
"SV16","A public service provided to tourists / visitors offering information about the amenities of “My Municipality”.","Visitor Information","","2/22/2010","","KPMG","Active","PGSV88","","1817","","","false","Public","16"
"SV16.1","","Visitor Information Kiosk Advisory","","2/22/2010","","KPMG","Active","PGSV89","","1992","","","false","Public","16"
"SV16.2","","Visitor Information Telephone Advisory","","2/22/2010","","KPMG","Active","PGSV90","","1993","","","false","Public","16"
"SV16.3","","Visitor Information eBlast Advisory","","2/22/2010","","KPMG","Active","PGSV91","","1994","","","false","Public","16"
"SV16.4","","Visitor Information Collateral Development","","2/22/2010","","KPMG","Active","PGSV92","","1995","","","false","Public","16"
"SV16.5","","Visitor Information Social Media Advisory","","2/22/2010","","KPMG","Active","PGSV93","","1996","","","false","Public","16"
"SV16.6","","Visitor Information Research","","2/22/2010","","KPMG","Active","PGSV94","","1997","","","false","Public","16"
"SV16.7","","Visitor Information Distribution","","2/22/2010","","KPMG","Active","PGSV95","","1998","","","false","Public","16"
"SV16.8","","Visitor Information Web Site Advisory","","2/22/2010","","KPMG","Active","PGSV96","","1999","","","false","Public","16"
"SV17","A public service provided to commercial establishments offering administrative support for the levy of business improvement funds collected to enhance shopping experiences","Business Improvement Area (BIA) Support","","2/22/2010","","KPMG","Active","","","1818","","","false","Public","17"
"SV17.1","","Business Improvement Area Financial Support","","2/22/2010","","KPMG","Active","","","2000","","","false","Public","17"
"SV17.2","","Business Improvement Area Advisory","","2/22/2010","","KPMG","Active","","","2001","","","false","Public","17"
"SV18","A public service provided to water account holders and water consumers offering access to safe, clean potable water.","Potable Water Supply","","2/22/2010","","KPMG","Active","","","1819","","","false","Public","18"
"SV18.1","","Potable Water System Planning & Optimization","","2/22/2010","","KPMG","Active","","","2002","","","false","Public","18"
"SV18.2","","Potable Water System Design & Construction","","2/22/2010","","KPMG","Active","","","2003","","","false","Public","18"
"SV18.3","","Source Water Management","","2/22/2010","","KPMG","Active","","","2004","","","false","Public","18"
"SV18.4","","Source Water Production","","2/22/2010","","KPMG","Active","","","2005","","","false","Public","18"
"SV18.5","","Potable Water Treatment","","2/22/2010","","KPMG","Active","","","2006","","","false","Public","18"
"SV18.6","","Potable Water Treatment Plant Maintenance","","2/22/2010","","KPMG","Active","","","2007","","","false","Public","18"
"SV18.7","","Chemical Management","","2/22/2010","","KPMG","Active","","","2008","","","false","Public","18"
"SV18.8","","Potable Water Transmission","","2/22/2010","","KPMG","Active","","","2009","","","false","Public","18"
"SV18.9","","Potable Water Pump Station & Equipment Maintenance","","2/22/2010","","KPMG","Active","","","2010","","","false","Public","18"
"SV18.10","","Potable Water Storage & Reservoir Management","","2/22/2010","","KPMG","Active","","","2011","","","false","Public","18"
"SV18.11","","Potable Water Distribution","","2/22/2010","","KPMG","Active","","","2012","","","false","Public","18"
"SV18.12","","Potable Water Main Maintenance","","2/22/2010","","KPMG","Active","","","2013","","","false","Public","18"
"SV18.13","","SCADA System Management","","2/22/2010","","KPMG","Active","","","2014","","","false","Public","18"
"SV18.14","","Potable Water Account Creation and Maintenance","","2/22/2010","","KPMG","Active","","","2015","","","false","Public","18"
"SV18.15","","Potable Water Meter Installation, Repair and Reading","","2/22/2010","","KPMG","Active","","","2016","","","false","Public","18"
"SV18.16","","Potable Water Compliance Monitoring & Reporting","","2/22/2010","","KPMG","Active","","","2017","","","false","Public","18"
"SV18.17","","Potable Water Advisory","","2/22/2010","","KPMG","Active","","","2018","","","false","Public","18"
"SV18.18","","Potable Water Billing & Collection","","2/22/2010","","KPMG","Active","","","2019","","","false","Public","18"
"SV18.19","","Potable Water Utility Locating","","2/22/2010","","KPMG","Active","","","2020","","","false","Public","18"
"SV18.20","","Potable Water Infrastructure Lifecycle Management","","2/22/2010","","KPMG","Active","","","2021","","","false","Public","18"
"SV19","A public service provided to wastewater account holders and wastewater producers offering safe removal of wastewater from their premises.","Wastewater Collection and Treatment","","2/22/2010","","KPMG","Active","","","1820","","","false","Public","19"
"SV19.1","","Wastewater System Planning & Optimization","","2/22/2010","","KPMG","Active","","","2022","","","false","Public","19"
"SV19.2","","Wastewater System Design & Construction","","2/22/2010","","KPMG","Active","","","2023","","","false","Public","19"
"SV19.3","","Wastewater Service Connection Installation & Maintenance","","2/22/2010","","KPMG","Active","","","2024","","","false","Public","19"
"SV19.4","","Wastewater Collection","","2/22/2010","","KPMG","Active","","","2025","","","false","Public","19"
"SV19.5","","Industrial Wastewater Monitoring","","2/22/2010","","KPMG","Active","","","2026","","","false","Public","19"
"SV19.6","","Sewer Use By-Law Enforcement","","2/22/2010","","KPMG","Active","","","2027","","","false","Public","19"
"SV19.7","","Wastewater Treatment","","2/22/2010","","KPMG","Active","","","2028","","","false","Public","19"
"SV19.8","","Wastewater Account Creation and Maintenance","","2/22/2010","","KPMG","Active","","","2029","","","false","Public","19"
"SV19.9","","Wastewater Billing and Collection","","2/22/2010","","KPMG","Active","","","2030","","","false","Public","19"
"SV19.10","","Wastewater Compliance Monitoring & Reporting ","","2/22/2010","","KPMG","Active","","","2031","","","false","Public","19"
"SV19.11","","Wastewater Sewer Maintenance","","2/22/2010","","KPMG","Active","","","2032","","","false","Public","19"
"SV19.12","","Chemical Management","","2/22/2010","","KPMG","Active","","","2033","","","false","Public","19"
"SV19.13","","SCADA system management","","2/22/2010","","KPMG","Active","","","2034","","","false","Public","19"
"SV19.14","","Bio-Solids Disposal","","2/22/2010","","KPMG","Active","","","2035","","","false","Public","19"
"SV19.15","","Wastewater Infrastructure Lifecycle Management","","2/22/2010","","KPMG","Active","","","2036","","","false","Public","19"
"SV20","A pubic service provided to waste producers offering curb side collection of solid waste, including residual waste, recycled material, organics, etc..","Waste Collection and Disposal","","2/22/2010","","KPMG","Active","","","1821","","","false","Public","20"
"SV20.1","","Curbside Solid Waste Collection","","2/22/2010","","KPMG","Active","","","2037","","","false","Public","20"
"SV20.2","","Multi-Residential Solid Waste Collection","","2/22/2010","","KPMG","Active","","","2038","","","false","Public","20"
"SV20.3","","Litter Collection","","2/22/2010","","KPMG","Active","","","2039","","","false","Public","20"
"SV20.4","","Household Chemical Waste (drop off)","","2/22/2010","","KPMG","Active","","","2040","","","false","Public","20"
"SV20.5","An internal service provided to solid waste service providers offering transfer and processing of collected waste.","Solid Waste Transfer and Processing","","2/22/2010","","KPMG","Active","","","2041","","","false","Internal","20"
"SV20.6","A public service provided to Solid Waste Haulers offering disposal and incineration of solid waste","Solid Waste Disposal","","2/22/2010","","KPMG","Active","","","2042","","","false","Public","20"
"SV20.7","","Landfill Site Remediation","","2/22/2010","","KPMG","Active","","","2043","","","false","Public","20"
"SV21","A public service provided to seniors offering social and other therapeutic activities at a location outside of the home, including planned recreation and physical activities, meals, transportation to a facility and personal care.","Adult Day Care","","2/22/2010","","KPMG","Active","","","1822","","","false","Public","21"
"SV21.1","A public service provided to elderly and frail adults offering documentation of client care needs, goals, and interdisciplinary and other support interventions","Adult Day Individual Care Case Management","","2/22/2010","","KPMG","Active","","","2044","","","false","Public","21"
"SV21.2","A public service provided to elderly and frail adults offering access to a variety of personal care support including: hairdressers, chiropody, and dental care in response to specific need s or desires.","Adult Day Enhanced Personal Care","","2/22/2010","","KPMG","Active","","","2045","","","false","Public","21"
"SV21.3","A public service provided to elderly and frail adults offering monitoring of medication to ensure proper consumption.","Adult Day Medication Monitoring","","2/22/2010","","KPMG","Active","","","2046","","","false","Public","21"
"SV21.4","A public service provided to elderly and frail adults offering information and referral in response to their specific needs and identified goals.","Adult Day Participant Information and Referral","","2/22/2010","","KPMG","Active","","","2047","","","false","Public","21"
"SV21.5","A public service provided to elderly and frail adults offering support in accomplishing personal care requirements.","Adult Day Personal Care","","2/22/2010","","KPMG","Active","","","2048","","","false","Public","21"
"SV21.6","A public service provided to elderly and frail adults offering access to social workers and specialized support services in response to individual and group referrals.","Adult Day Psycho-social Support","","2/22/2010","","KPMG","Active","","","2049","","","false","Public","21"
"SV21.7","A public service provided to elderly and frail adults offering a variety of opportunities for recreational activity intended to engage individuals in active lifestyles.","Adult Day Recreation Activity","","2/22/2010","","KPMG","Active","","","2050","","","false","Public","21"
"SV21.8","A public service provided to elderly and frail adults offering various specialized rehabilitation support to individuals and groups.","Adult Day Rehabilitation","","2/22/2010","","KPMG","Active","","","2051","","","false","Public","21"
"SV21.9","A public service provided to elderly and frail adults offering meals (1 meal and 2 snacks) served at the appropriate temperature, time and in a suitable environment.","Adult Day Meal Provision","","2/22/2010","","KPMG","Active","","","2052","","","false","Public","21"
"SV21.10","A public service provided to the care giver of an elderly and frail adult offering a period of respite from care giving.","Adult Day Respite Care","","2/22/2010","","KPMG","Active","","","2053","","","false","Public","21"
"SV22","A public service provided to seniors offering people who only need minimal to moderate care -- such as homemaking or personal care and support - to live independently.","Supportive Housing","","2/22/2010","","KPMG","Active","","","1823","","","false","Public","22"
"SV22.1","A public service provided to homebound seniors offering assistance to maintain a safe and comfortable home, including routine household activities including menu planning and meal preparation, shopping, light housecleaning and laundry, and paying bills or banking.","Homemaking","","2/22/2010","","KPMG","Active","","","2054","","","false","Public","22"
"SV22.2","A public service provided to prospective supportive housing residents offering a placement in a supportive housing facility.","Supportive Housing Placement Coordination","","2/22/2010","","KPMG","Active","","","2055","","","false","Public","22"
"SV22.3","A public service provided to mentally challenged individuals offering the eligibility assessment, care planning and care oversight.","Supportive Housing Case Management","","2/22/2010","","KPMG","Active","","","2056","","","false","Public","22"
"SV23","A public service provided to homeless persons offering temporary shelter and supports.","Homeless Support","","2/22/2010","","KPMG","Active","","","1824","","","false","Public","23"
"SV23.1","A public service provided to homeless persons offering access to temporary shelter and supports.","Homeless Shelter","","2/22/2010","","KPMG","Active","","","2057","","","false","Public","23"
"SV23.2","A public service provided to homeless persons an their families\ offering proactive support and referral to other service providers for support.","Homeless Outreach & Referral","","2/22/2010","","KPMG","Active","","","2058","","","false","Public","23"
"SV23.3","A public service provided to homeless persons offering employment assistance and financial support.","Homeless Pre-employment & Income Assistance","","2/22/2010","","KPMG","Active","","","2059","","","false","Public","23"
"SV23.4","A public service provided to prospective homeless candidates offering supports that will provide them with basic needs, such as utility payments, counselling sessions, etc., necessary to remain within their existing home.","Homelessness Prevention","","2/22/2010","","KPMG","Active","","","2060","","","false","Public","23"
"SV23.5","A public service provided to homeless shelter operators offering a subsidy to operate the homeless shelter.","Homeless Shelter Subsidy","","2/22/2010","","KPMG","Active","","","2061","","","false","Public","23"
"SV24","A public service provided to transitional housing residents offering housing that is intended to offer a supportive living environment and tools and opportunities for social and skills development. It is an intermediate step between emergency shelters and supportive housing, with limits on the length of stay.","Transitional Housing","","2/22/2010","","KPMG","Active","","","1825","","","false","Public","24"
"SV24.1","A public service provided to transitional housing residents offering housing that is intended to offer a supportive living environment and tools and opportunities for social and skills development.","Domiciliary Hostel Accommodation","","2/22/2010","","KPMG","Active","","","2062","","","false","Public","24"
"SV24.2","","Transitional Housing Subsidy","","2/22/2010","","KPMG","Active","","","2063","","","false","Public","24"
"SV25","A public service provided to housing owners / operators offering financial assistance to convert or intensify housing to more affordable options.","Affordable Housing","","2/22/2010","","KPMG","Active","","","1826","","","false","Public","25"
"SV25.1","A public service provided to prospective social housing providers offering supports in the planning, design, construction and delivery of affordable housing accommodation.","Affordable Housing Construction and Maintenance","","2/22/2010","","KPMG","Active","","","1827","","","false","Public","25"
"SV27","A public service provided to social housing owners offering subsidies for rent for assisted housing leaseholders and occupants to meet their housing needs.","Assisted Housing Provider Funding Support","","2/22/2010","","KPMG","Active","","","1828","","","false","Public","27"
"SV27.1","","Residential Conversion / Intensification Subsidy","","2/22/2010","","KPMG","Active","","","2064","","","false","Public","27"
