GUID,Description,Name,To Date,From Date,Process Type,Source,Status,Type,Deprecated,Process Level Type,Traced-to,Service
PR77,,Prepare formal Court hearing transcript ,,02/22/10,Delivering,,,,FALSE,,,
PR14,,Determine Fire Rescue response requirements,,02/22/10,Delivering,,,,FALSE,,,Fire Rescue
PR35,,Maintain equipment / fleet,,02/22/10,Delivering,,,,FALSE,,,Fire Rescue
PR2,,Set performance targets for Fire Rescue activity,,02/22/10,Planning,,,,FALSE,,,Fire Rescue
PR56,,Define partnerships to deliver Fire Safety Education,,02/22/10,Delivering,,,,FALSE,,,Fire Safety Education
PR80,,Process Dispute Resolution activity exceptions ,,02/22/10,Delivering,,,,FALSE,,,
PR78,,Process hearing resolution ,,02/22/10,Delivering,,,,FALSE,,,
PR15,,Dispatch resources to Fire Rescue response,,02/22/10,Delivering,,,,FALSE,,,Fire Rescue
PR36,,Account for Fire Rescue activity costs,,02/22/10,Delivering,,,,FALSE,,,Fire Rescue
PR3,,"Develop Fire Rescue policies, procedures and standards (including Emergency Plans)",,02/22/10,Planning,,,,FALSE,,,Fire Rescue
PR57,,Develop Fire Safety Education curriculum,,02/22/10,Delivering,,,,FALSE,,,Fire Safety Education
PR81,,Resolve Dispute Resolution activity complaints ,,02/22/10,Delivering,,,,FALSE,,,
PR79,,Account for Dispute Resolution activity costs ,,02/22/10,Delivering,,,,FALSE,,,
PR16,,Send Fire Rescue profile to dispatched resources,,02/22/10,Delivering,,,,FALSE,,,Fire Rescue
PR37,,Process Fire Rescue activity exceptions,,02/22/10,Delivering,,,,FALSE,,,Fire Rescue
PR60,,Evaluate effectiveness of Fire Safety Education,,02/22/10,Delivering,,,,FALSE,,,Fire Safety Education
PR4,,Estimate Fire Rescue activity resource requirements (develop budget for Fire Rescue),,02/22/10,Planning,,,,FALSE,,,Fire Rescue
PR58,,Develop Fire Safety Education material,,02/22/10,Delivering,,,,FALSE,,,Fire Safety Education
PR82,,Monitor Dispute Resolution activity performance ,,02/22/10,Monitoring,,,,FALSE,,,
PR17,,Acknowledge receipt of Fire Rescue profile,,02/22/10,Delivering,,,,FALSE,,,Fire Rescue
PR40,,Monitor Fire Rescue activity resource consumption / availability,,02/22/10,Monitoring,,,,FALSE,,,Fire Rescue
PR38,,Resolve Fire Rescue activity complaints,,02/22/10,Delivering,,,,FALSE,,,Fire Rescue
PR61,,Monitor Fire Safety Education activity performance,,02/22/10,Monitoring,,,,FALSE,,,Fire Safety Education
PR5,,Set Fire Rescue activity schedule,,02/22/10,Capacity Building,,,,FALSE,,,Fire Rescue
PR59,,Deliver Fire Safety Education courses,,02/22/10,Delivering,,,,FALSE,,,Fire Safety Education
PR83,,Monitor Dispute Resolution activity resource consumption / availability ,,02/22/10,Monitoring,,,,FALSE,,,
PR39,,Monitor Fire Rescue activity performance,,02/22/10,Monitoring,,,,FALSE,,,Fire Rescue
PR62,,Monitor Fire Safety Education activity resource consumption / availability,,02/22/10,Monitoring,,,,FALSE,,,Fire Safety Education
PR6,,Acquire Fire Rescue activity resources,,02/22/10,Capacity Building,,,,FALSE,,,Fire Rescue
PR18,,Receive Fire Rescue response route detail and updated incident profile,,02/22/10,Delivering,,,,FALSE,,,Fire Rescue
PR41,,Monitor Fire Rescue activity risks and quality,,02/22/10,Monitoring,,,,FALSE,,,Fire Rescue
