Name,Description,Output Type,Service Output Type,Volume Count - Planned,Volume Count - Actual,Volume Period Start,Volume Period End,Status,Source,From Date,To Date,Service,Process,Service Values,Sub-Outputs,Reference Documents,Initial Date,Last Change Date,Initial Time,Last Change Time,Initial Audit,Last Change Audit,GUID
Fence Exemption Permit,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:33 AM,10:43:33 AM,jra,jra,OP220
Fence Permit Issued,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:33 AM,10:43:33 AM,jra,jra,OP221
Ferry Trip,,Service,Movements,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:36 AM,10:43:36 AM,jra,jra,OP175
Finances Accounted,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:38 AM,10:43:38 AM,jra,jra,OP133
Financial / Employment Assistance,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:39 AM,10:43:39 AM,jra,jra,OP134
Financial Assistance Payment,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:22 AM,10:43:22 AM,jra,jra,OP135
Financial Audit Recommendation,,Service,Findings,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:26 AM,10:43:26 AM,jra,jra,OP121
Financial Investment / Debt Managed,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:36 AM,10:43:36 AM,jra,jra,OP149
Financial Plan and/or Budget Approved,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:27 AM,10:43:27 AM,jra,jra,OP150
Fire Safety Lesson,,Service,Educational & Training Encounter,,,,,Active,,,,,,,,,10/28/10,11/15/10,10:43:26 AM,12:10:22 PM,jra,Adminis,OP99
Fire Safety Violation Rectified,,Service,Penalties & Periods of Sanction,,,,,Active,,,,,,,,,10/28/10,11/15/10,10:43:25 AM,12:04:38 PM,jra,Adminis,OP193
Fireworks By-law violation brought into compliance,,Service,Penalties & Periods of Sanction,,,,,Active,,,,"""Fireworks By-Law Enforcement""",,,,,10/28/10,11/15/10,10:43:31 AM,12:04:38 PM,jra,Adminis,OP182
Fireworks Permit,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,11/15/10,10:43:34 AM,12:04:39 PM,jra,Adminis,OP222
Food Safety Inspected,,Service,Penalties & Periods of Sanction,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:25 AM,10:43:25 AM,jra,jra,OP194
Food Safety Promotional Campaign,,Service,Advocacy & Promotional Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:38 AM,10:43:38 AM,jra,jra,OP35
Good / Service Purchased,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:28 AM,10:43:28 AM,jra,jra,OP151
Graffiti Art Mural Exemption Permit,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:34 AM,10:43:34 AM,jra,jra,OP223
Graffiti By-law violation brought into compliance,,Service,Penalties & Periods of Sanction,,,,,Active,,,,"""Graffiti By-Law Enforcement""",,,,,10/28/10,10/28/10,10:43:31 AM,10:43:31 AM,jra,jra,OP183
Grant / Subsidy Awarded / Received,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:28 AM,10:43:28 AM,jra,jra,OP152
Grass & Weed By-law violation brought into compliance,,Service,Penalties & Periods of Sanction,,,,,Active,,,,"""Grass & Weed By-Law Enforcement""",,,,,10/28/10,10/28/10,10:43:31 AM,10:43:31 AM,jra,jra,OP184
Group Home Licence,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:34 AM,10:43:34 AM,jra,jra,OP224
Health Hazard Inspected / Monitored,,Service,Penalties & Periods of Sanction,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:25 AM,10:43:25 AM,jra,jra,OP195
Health Hazard Promotional Campaign,,Service,Advocacy & Promotional Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:38 AM,10:43:38 AM,jra,jra,OP36
Heritage Demolition & Alteration Approved,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:34 AM,10:43:34 AM,jra,jra,OP225
Heritage Grant Awarded,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:29 AM,10:43:29 AM,jra,jra,OP153
Heritage Incentive Grant,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:23 AM,10:43:23 AM,jra,jra,OP136
High Risk Individual Immunized,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:31 AM,10:43:31 AM,jra,jra,OP59
HIV/AIDS Drug,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:37 AM,10:43:37 AM,jra,jra,OP60
HIV/AIDS Prevention Course,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:38 AM,10:43:38 AM,jra,jra,OP61
Homeless shelter funding payment,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:30 AM,10:43:30 AM,jra,jra,OP154
Homelessness Prevention Support,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:28 AM,10:43:28 AM,jra,jra,OP82
Incident Intervened,,Service,Interventions,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:22 AM,10:43:22 AM,jra,jra,OP161
Incident Mitigated,,Service,Interventions,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:23 AM,10:43:23 AM,jra,jra,OP162
Income Support Payment,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:23 AM,10:43:23 AM,jra,jra,OP137
Infection Drug,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:38 AM,10:43:38 AM,jra,jra,OP62
Infectious Disease Controlled,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:38 AM,10:43:38 AM,jra,jra,OP63
Information Accessed (to conduct business),,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:32 AM,10:43:32 AM,jra,jra,OP14
Information Communicated,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:33 AM,10:43:33 AM,jra,jra,OP15
Information request fulfilled,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:33 AM,10:43:33 AM,jra,jra,OP16
Injury Prevention Advice,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:33 AM,10:43:33 AM,jra,jra,OP17
Injury Prevention Awareness Campaign,,Service,Advocacy & Promotional Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:39 AM,10:43:39 AM,jra,jra,OP37
International Business Promotion Campaign,,Service,Advocacy & Promotional Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:22 AM,10:43:22 AM,jra,jra,OP38
Legal Advice (Imparted),,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:33 AM,10:43:33 AM,jra,jra,OP18
Library Fee / Fine Collected,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:30 AM,10:43:30 AM,jra,jra,OP155
Library Used,,Service,Educational & Training Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:37 AM,10:43:37 AM,jra,jra,OP100
Liquor Establishment Licence,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:35 AM,10:43:35 AM,jra,jra,OP226
Literacy Lesson / Consultation,,Service,Educational & Training Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:38 AM,10:43:38 AM,jra,jra,OP107
Litter & Dumping By-law violation brought into compliance,,Service,Penalties & Periods of Sanction,,,,,Active,,,,"""Litter & Dumping By-Law Enforcement""",,,,,10/28/10,10/28/10,10:43:31 AM,10:43:31 AM,jra,jra,OP185
Long Term Care accommodation,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:30 AM,10:43:30 AM,jra,jra,OP83
Long Term Care Overnight Stay,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:30 AM,10:43:30 AM,jra,jra,OP84
Long-Term Care Reference,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:30 AM,10:43:30 AM,jra,jra,OP85
Marriage Licence Issued,,Service,Periods of Permisson,,,,,Active,,,,"""Marriage Licensing""",,,,,10/28/10,10/28/10,10:43:35 AM,10:43:35 AM,jra,jra,OP227
Medication Administration,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:31 AM,10:43:31 AM,jra,jra,OP86
Mental Health Advice,,Service,Advisory Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:34 AM,10:43:34 AM,jra,jra,OP19
Mental Health Promotional Campaign,,Service,Advocacy & Promotional Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:23 AM,10:43:23 AM,jra,jra,OP39
Mixed Residential Construction Permit Issued,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:24 AM,10:43:24 AM,jra,jra,OP246
Moble Home By-law violation brought into compliance,,Service,Penalties & Periods of Sanction,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:31 AM,10:43:31 AM,jra,jra,OP186
Murder Incident Intervened,,Service,Interventions,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:23 AM,10:43:23 AM,jra,jra,OP163
Natural Garden Exemption Permit,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:36 AM,10:43:36 AM,jra,jra,OP228
Neighbourhood Canine Patrolled,,Service,Periods of Protection,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:25 AM,10:43:25 AM,jra,jra,OP249
Neighbourhood Foot Patrolled,,Service,Periods of Protection,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:34 AM,10:43:34 AM,jra,jra,OP250
Neighbourhood Patrolled,,Service,Periods of Protection,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:34 AM,10:43:34 AM,jra,jra,OP251
Neighbourhood Vehicle Patrolled,,Service,Periods of Protection,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:35 AM,10:43:35 AM,jra,jra,OP252
New Business Attracted,,Service,Advocacy & Promotional Encounter,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:32 AM,10:43:32 AM,jra,jra,OP40
Noice Exemption Permit,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:36 AM,10:43:36 AM,jra,jra,OP229
Noise By-law violation brought into compliance,,Service,Penalties & Periods of Sanction,,,,,Active,,,,"""Noise By-Law Enforcement""",,,,,10/28/10,10/28/10,10:43:32 AM,10:43:32 AM,jra,jra,OP187
Occupational Licence,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:27 AM,10:43:27 AM,jra,jra,OP230
Official Plan Amendment Approved,,Service,Periods of Permisson,,,,,Active,,,,"""Urban Design""",,,,,10/28/10,10/28/10,10:43:27 AM,10:43:27 AM,jra,jra,OP231
Operating Budget Approved,,Service,Funds,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:31 AM,10:43:31 AM,jra,jra,OP156
Operational Audit Recommendation,,Service,Findings,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:27 AM,10:43:27 AM,jra,jra,OP122
Palliative Care,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:31 AM,10:43:31 AM,jra,jra,OP87
Paramedic Care,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:39 AM,10:43:39 AM,jra,jra,OP64
Parking Violation brought into compliance,,Service,Penalties & Periods of Sanction,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:26 AM,10:43:26 AM,jra,jra,OP199
Part Lot Control Approved,,Service,Periods of Permisson,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:27 AM,10:43:27 AM,jra,jra,OP232
Passenger Trip,,Service,Movements,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:36 AM,10:43:36 AM,jra,jra,OP176
Pastoral care,,Service,Care & Rehabilitation Encounters,,,,,Active,,,,,,,,,10/28/10,10/28/10,10:43:31 AM,10:43:31 AM,jra,jra,OP88
Period of permission for a motor vehicle to be operated on roads,,,,,,,,Active,,,,"""Vehicle Registration and Licensing Service""",,:SV02,,,11/17/10,12/8/10,2:34:38 PM,4:28:56 PM,Adminis,Adminis,469638f1-573c-46cb-8fda-fdc5833aa55d
Period of permission for carrier to operate commercial motor vehicle on roads,,,,,,,,Active,,,,"""Carrier Registration and Licensing Service""",,:SV03,,,11/17/10,12/8/10,2:36:30 PM,4:29:16 PM,Adminis,Adminis,078309b9-f7d1-4e3a-b0a4-2d4397c0a6e2
Period of permission to drive motor vehicles on roads,,,,,,,,Active,,,,"""Driver Licensing Service""",,:SV01,,,11/17/10,12/8/10,2:32:49 PM,4:28:27 PM,Adminis,Adminis,2ffebc59-1599-40fa-a002-0d2c299a59f5
