Name,Output,Client Type,Client
Enhanced quality of life and personal wellness through fitness,Fitness Instruction Lesson (Provided),Direct,Fitness Participant / Student
Enhanced quality of life and personal wellness through dancing,Dancing Instruction Lesson (Provided),Direct,Dancing Participant / Student
Enhanced quality of life and personal wellness through golfing,Golfing Instruction Lesson (Provided),Direct,Golfing Participant / Student
Enhanced quality of life and personal wellness through curling,Curling Instruction Lesson (Provided),Direct,Curling Participant / Student
Enhanced quality of life and personal wellness through active living,Recreational Activity (Provided),Direct,Recreation Participant / Programme User
Enhanced quality of life and personal wellness through aquatics,Aquatics Programme Activity (Provided),Direct,Aquatics Participant / Programme User
Enhanced quality of life and personal wellness for seniors through aquatics,Senior Aquatics Programme Activity (Provided),Direct,Senior Aquatics Participant / Programme User
Enhanced quality of life and personal wellness for adults through aquatics,Adult Aquatics Programme Activity (Provided),Direct,Adult Aquatics Participant / Programme User
Enhanced quality of life and personal wellness for youth through aquatics,Youth Aquatics Programme Activity (Provided),Direct,Youth Aquatics Participant / Programme User
Enhanced quality of life and personal wellness for children through aquatics,Child Aquatics Programme Activity (Provided),Direct,Child Aquatics Participant / Programme User
Enhanced quality of life and personal wellness for infants through aquatics,Infant Aquatics Programme Activity (Provided),Direct,Infant Aquatics Participant / Programme User
Enhanced quality of life and personal wellness for special needs populations through aquatics,Special Needs Aquatics Programme Activity (Provided),Direct,Special Needs Aquatics Participant / Programme User
Enhanced quality of life and personal wellness through sports,Sports Programme Activity (Provided),Direct,Sports Participant / Programme User
Enhanced quality of life and personal wellness through skating,Skating Programme Activity (Provided),Direct,Skating Participant / Programme User
Enhanced quality of life and personal wellness through fitness,Fitness Programme Activity (Provided),Direct,Fitness Participant / Programme User
Enhanced quality of life and personal wellness through dancing,Dancing Programme Activity (Provided),Direct,Dancing Participant / Programme User
Enhanced quality of life and personal wellness through day camp activities,Day Camp Programme Activity (Provided),Direct,Day Camp Participant / Programme User
Enhanced quality of life and personal wellness through golfing,Golfing Programme Activity (Provided),Direct,Golfing Participant / Programme User
Enhanced quality of life and personal wellness through curling,Curling Programme Activity (Provided),Direct,Curling Participant / Programme User
Right to operate a business activity,Business Licence Issued,Direct,Business Licence Applicant
Right to operate a business establishment,Business Establishment Licence Issued,Direct,Business Establishment Licence Applicant
Right to operate an adult entertainment establishment,Adult Entertainment Establishment Licence Issued,Direct,Adult Entertainment Establishment Licence
Right to operate an auto body repair shop,Auto Body Repair Shop Licence Issued,Direct,Auto Body Repair Shop Licence
Right to operate an adult entertainment establishment,Adult Entertainment Establishment Licence Issued,Direct,Adult Entertainment Establishment Licence
Right to operate an auto body repair shop,Auto Body Repair Shop Licence Issued,Direct,Auto Body Repair Shop Licence
Right to operate an adult entertainment establishment,Adult Entertainment Establishment Licence Issued,Direct,Adult Entertainment Establishment Licence
Right to operate an auto body repair shop,Auto Body Repair Shop Licence Issued,Direct,Auto Body Repair Shop Licence
Right to operate an adult entertainment establishment,Adult Entertainment Establishment Licence Issued,Direct,Adult Entertainment Establishment Licence
Right to operate an auto body repair shop,Auto Body Repair Shop Licence Issued,Direct,Auto Body Repair Shop Licence
Right to operate an auto body repair shop,Auto Body Repair Shop Licence Issued,Direct,Auto Body Repair Shop Licence
Right to operate an adult entertainment establishment,Adult Entertainment Establishment Licence Issued,Direct,Adult Entertainment Establishment Licence
Right to operate an auto body repair shop,Auto Body Repair Shop Licence Issued,Direct,Auto Body Repair Shop Licence
Right to operate a business occupation,Business Occupational Licence Issued,Direct,Business Occupational Licence Applicant
Right to drive a taxi cab,Taxi Driver Licensed,Direct,Taxi Driver
Right to auction goods.,Auctioneer Licensed,Direct,Auctioneer
Right to offer building contractor services,Building Contractor Licensed,Direct,Building Contractor
Right to hawk / peddle goods,Hawker / Peddler Licensed,Direct,Hawker / Peddler
Right to collect scrap metal,Scrap Collector Licensed,Direct,Scrap Collector
Informed visitor decision making,Tourism Information (provided),Direct,Visitor
Improved facilitated access to required resources,Tourist Event Hosted,Direct,Tourism Event Host
Better informed business decision making for new businesses,Business Attraction Campaign,Direct,Prospective Business
Informed business decision making by existing businesses,Business Consultation,Direct,Existing Business
Informed small and medium enterprise decision making,SME Consultation,Direct,Small and Medium Enterprise
Compliance with event permit,Event Permit Issued,Direct,Event Host
Compliance with film/media production permit,Film and Media Permit Issued,Direct,Film / Media Production Firm
Knowledge/awareness of findings of investigation,Criminal Investigation Report,Direct,Victim
"Fair, impartial court case verdit",Court Case Ruling,Direct,Accused
"Fair, impartial court dispute resolution",Court Dispute Resolved,Direct,Courtroom Patron
Convenient collection of default fine,Default Fine Paid,Direct,Offence Violator
Greater sense of safety and security,Courtroom Secured (patrolled),Direct,Courtroom Patron
Increased roadway visibility  during periods of darkness,Roadway Lit ,Direct,Roadway User
Reduced harm or damage caused by an emergency incident,Emergency Incident Intervention,Direct,Emergency Incident Victim
Increased awareness of fire safety prevention,Fire Safety Prevention Education Lesson,Direct,Fire Safety Student
Reduced loss of lives due to fire rescue incident,Fire Rescue Incident Mitigated,Direct,Incident Victim
Reduced loss of lives due to fire incident,Fire Incident Mitigated,Direct,Fire Victim
Reduced loss of lives due to structure fire incident,Structure Fire Rescue Incident Mitigated,Direct,Structure Fire Victim
Reduced loss of lives due to environmental fire incident,Environmental Fire Rescue Incident Mitigated,Direct,Environmental Fire Victim
Reduced loss of lives due to vehicle fire incident,Vehicle Fire Rescue Incident Mitigated,Direct,Vehicle Fire Victim
Reduced loss of lives due to electrical fire incident,Electrical Fire Rescue Incident Mitigated,Direct,Electrical Fire Victim
Reduced loss of lives due to fuels fire incident,Fuel Fire Rescue Incident Mitigated,Direct,Fuels Fire Victim
Reduced loss of lives due to vehicular accident incident,Vehicle Accident Rescue,Direct,Vehicle Accident Victim
Reduced loss of lives due to medical assistance incident,Medical Assistance,Direct,Medical Assistance Victim
Reduced loss of lives due to rescue incident,Rescue,Direct,Rescue Incident Victim
Reduced loss of lives due to public assistance incident,Public Assistance,Direct,Public Assistance Incident Victim
Reduced loss of lives due to hazardous material incident,Hazardous Materials Response - Level 1,Direct,Incident Victim
Reduced loss of lives due to hazardous material incident,Hazardous Materials Response - Level 2,Direct,Incident Victim
Reduced loss of lives due to hazardous material incident,Hazardous Materials Response - Level 3,Direct,Incident Victim
Compliance with conditions to have a fire,Fire Permit Issued,Direct,Fire Permit Applicant
Increased sense of safety and security,School Crossing Guard Posting,Direct,School Student
Increased sense of safety and security,Police Patrol,Direct,Neighbourhood Resident / Business
Reduced personal harm or property damage due to incident,Police Incident Intervened,Direct,Incident Victim
Increased awareness of crime safety prevention,Crime Safety Prevention Education Lesson,Direct,Crime Safety Student
Confirmation of criminal record status,Criminal Record Checked,Direct,Candidate for Criminal Record Check
Improved identification of lost animals,Animal Registered,Direct,Animal Owner
Improved identification of lost dogs,Dog Registered,Direct,Dog Owner
Improved identification of lost cats,Cat Registered,Direct,Cat Owner
Improved identification of lost exotic animals,Exotic Animal Registered,Direct,Exotic Animal Owner
Improved identification of lost dangerous animals,Dangerous Animal Registered,Direct,Dangerous Animal Owner
Improved roadway safety through controlled access to the right-of-way for non-road use purposes.,Right-of-Way Encroachment Permit,Direct,Right-of-Way User
Greater awareness of utility locations within the right-of-way prior to making utility cuts,Utility Cut Permit,Direct,Utility owner
Reduced obstruction of roadway lines of sight due to cafe appurtenances,Boulevard Café Permit,Direct,Café owner
Reduced damage to roadway due to oversize load restrictions,Oversize Load Permit,Direct,Oversize load operator
Improved construction safety through the identification of underground utilities.,Underground Utility Located,Direct,Contractor
Improved access to affordable water supply,(Cubic metre of) Drinking Water Supplied,Direct,Water Account Holder
Improved access to affordable wastewater collection,(Cubic metre of) Wastewater Removed,Direct,Wastewater Account Holder
Increased knowledge of public health information to allow for improved quality of life,Public Health  Lesson,Direct,Health class participant
Increased knowledge WRT reducing or eliminating conditions hazardous to child health,Child Health Lesson,Direct,Parent
Increased knowledge WRT preventing harm and damage of  chronic disease,Chronic Disease Prevention Lesson,Direct,Lesson participant
Increased  knowledge WRT preventing harm and damage of  communicable disease,Communicable Disease Prevention Lesson,Direct,Lesson participant
Increased knowledge WRT preventing harm and damage of dental disease,Dental / Oral Health Lesson,Direct,Lesson participant
Increased knowledge WRT preventing harm and damage of food preparation,Food Safety Lesson,Direct,Lesson participant
Increased knowledge WRT preventing harm and damage of health hazards,Health Hazard Prevention Lesson,Direct,Lesson participant
Increased knowledge WRT preventing harm and damage of  injury,Injury Prevention Lesson,Direct,Lesson participant
Increased knowledge WRT preventing harm and damage of  substance abuse,Substance Abuse Prevention Lesson,Direct,Lesson participant
Increased knowledge WRT preventing harm and damage of  reproduction,Reproductive Health Prevention Lesson,Direct,Lesson participant
better informed decision making and a clearer perspective on the issues,Public Health Promotional Campaign,Direct,Campaign target audience
better informed decision making and a clearer perspective on the issues,Child Health Promotional Campaign,Direct,Parent
better informed decision making and a clearer perspective on the issues,Chronic Disease Prevention Promotional Campaign,Direct,Campaign target audience
better informed decision making and a clearer perspective on the issues,Communicable Disease Prevention Promotional Campaign,Direct,Campaign target audience
better informed decision making and a clearer perspective on the issues,Dental / Oral Health Promotional Campaign,Direct,Campaign target audience
better informed decision making and a clearer perspective on the issues,Food Safety Promotional Campaign,Direct,Campaign target audience
better informed decision making and a clearer perspective on the issues,Health Hazard Prevention Promotional Campaign,Direct,Campaign target audience
better informed decision making and a clearer perspective on the issues,Injury Prevention Promotional Campaign,Direct,Campaign target audience
better informed decision making and a clearer perspective on the issues,Substance Abuse Prevention Promotional Campaign,Direct,Campaign target audience
better informed decision making and a clearer perspective on the issues,Reproductive Health Promotional Campaign,Direct,Campaign target audience
better informed decision making,Public Health Advice,Direct,Advise Recipient
better informed decision making,Child Health Advice,Direct,Parent
better informed decision making,Chronic Disease Prevention Advice,Direct,Advise Recipient
better informed decision making,Communicable Disease Prevention Advice,Direct,Advise Recipient
better informed decision making,Dental / Oral Health Advice,Direct,Advise Recipient
better informed decision making,Food Safety Advice,Direct,Advise Recipient
better informed decision making,Health Hazard Prevention Advice,Direct,Advise Recipient
better informed decision making,Injury Prevention Advice,Direct,Advise Recipient
better informed decision making,Substance Abuse Advice,Direct,Advise Recipient
better informed decision making,Reproductive Health Advice,Direct,Advise Recipient
Improved public health,Public Heath Treatment,Direct,Public Health Care Recipient
Reduced risk of contacting a communicable disease,Immunization,Direct,Communicable Disease Immunization Recipient
Improved dental / oral health,Dental / Oral Treatment,Direct,Dental / Oral Care Recipient
Reduced injury / harm due to extremen weather,Extreme Weather Treatment,Direct,Homeless Person
awareness/knowledge of public health indicators,Public Health Status Report,Direct,Person concerned with public health indicators
knowledge/awareness of air quality,Air Quality Status Report,Direct,Person concerned with air quality
Increased awareness of water quality conditions.,Water Quality Status Report,Direct,Water User
Increased awareness of drinking water quality conditions.,Drinking Water Quality Status Report,Direct,Drinking Water Consumer
Increased awareness of recreational water quality conditions.,Recreational Water Quality Status Report,Direct,Recreation Participant
Increased awareness of ground water quality conditions.,Ground Water Quality Status Report,Direct,Ground Water User
Increased awareness of community health risks,Community Health Quality Status Report,Direct,Community Resident
Increased compliance with public health regulations,Public Health Violation (brought into compliance),Direct,Business Establishment
Increased compliance with food preparation regulations,Food Safety Violation (brought into compliance),Direct,Food Preparation / Serving Establishment
Increased compliance with tobacco  sale regulations,Tobacco Sales Violation (brought into compliance),Direct,Tobacco Sales Establishment
Improved protection from damage of storm water,(Cubic metre of) Storm Water Drained,Direct,"Property OwnerRoadway User"
"Improved aesthetics, clean air, shade, feeling of well being",Tree (healthy),Direct,"Adjacent Property OwnerPark UserBoulevard User"
"Improved aesthetics, clean air, shade, feeling of well being",Boulevard Tree (healthy),Direct,"Adjacent Property OwnerBoulevard User"
"Improved aesthetics, clean air, shade, feeling of well being",Park Tree (healthy),Direct,Park User
"Improved aesthetics, clean air, shade, feeling of well being",Open Space Tree (healthy),Direct,Adjacent Property Owner
Increased water conservation,Water Conservation Promotional Campaign,Direct,Water Consumer
Reduced water consumption,Water Consumption Reduction Promotional Campaign,Direct,Water Consumer
Reduced wastewater production,Wastewater Production Reduction Promotional Campaign,Direct,Wastewater Producer
Reduced ground water contamination,Ground Water Protection Promotional Campaign,Direct,Ground Water User
Entitlement to benefits,Life Event Registered,Direct,Parent of newborn
Entitlement to benefits,Birth Registered,Direct,Family of the deceased
Termination of entitlement to benefits,Death Registered,Direct,Family of the deceased
Increased feeling of emotional wellbeing (closure),Deceased Buried,Direct,Family of the deceased
Increased feeling of emotional wellbeing (closure),Deceased Buried,Direct,Family of the deceased
Increased feeling of emotional wellbeing (closure),Deceased Buried,Direct,Family of the deceased
Increased entitlement to marriage benefits,Marriage Registered,Direct,Marriage partners
Improved confidence that the persons elected mayor and councillors have been elected freely and fairly,Officials Elected (for a term in office),Direct,Electorate
Entitlement to vote,Election Vote Registered,Direct,Voter
Entitlement to run for election,Candidate Registered,Direct,Election Candidate
Entitlement to vote,Voter Registered,Direct,Voter
Improved understanding of a constituent's position/perspective ,Councillor Support,Direct,Constituent
Improved access to affordable housing accommodation,(Period of Accommodation in an) Assisted Housing Unit,Direct,Assisted Housing Resident
Improved access to rent funds for assisted housing,Assisted Housing Unit Rent Payment,Direct,Assisted Housing Rent Supplement Recipient
Improved access to funds for providing subsidized housing,Assisted Housing Provider Payment,Direct,Assisted Housing Provider
Improved access to temporary shelter from hazards of weather and other health endangering conditions,Shelter Stay,Direct,Shelter User
Improved access to temporary shelter from hazards of weather and other health endangering conditions,Homeless Shelter Stay,Direct,Homeless Person
Improved access to temporary shelter from hazards of endangering conditions,Abused Women Shelter Stay,Direct,Abused Woman
Improved access to temporary shelter from hazards of weather ,Domiciliary Hostel Stay,Direct,Domiciliary Resident
Increased authorization to preserve property,Heritage Property Designated,Direct,Heritage Property Owner
Reduced financial burden of arts and cultural groups,Arts / Cultural Grant Award,Direct,Arts / Cultural Grant Recipient
Improve quality of life through exposure to art experience,Art Gallery Collection Visit,Direct,Art Gallery Visitor / Patron
Improved access to art gallery facility and collections,Art Gallery Facility Booking,Direct,Art Gallery Facility User
Improved quality of life through exposure to museum experience,Museum Collection Visit,Direct,Museum Visitor / Patron
Improved access to museum facility and collections,Museum Facility Booking,Direct,Museum Facility User
Improved quality of life through the provision of special events,Special Event Hosted,Direct,Special Event Participant
Improved access to long-term care accommodation,Long Term Care Accommodation (stay),Direct,Long-Term Care Recipient
Improved access to long-term care,Personal care,Direct,Long-Term Care Recipient
Improved coordination of long-term care case requirements,Long Term Case Managed,Direct,Long-Term Care Recipient
Improved personal care,Personal care,Direct,Long-Term Care Recipient
Improved long-term care medication,Medication Administration,Direct,Long-Term Care Recipient
Improved palliative care,Palliative Care,Direct,Long-Term Care Recipient
Improved recreational activity,Recreation,Direct,Long-Term Care Recipient
Improved pastoral care,Pastoral care,Direct,Long-Term Care Recipient
Improved psycho-social wellbeing,Psycho-social consultation,Direct,Long-Term Care Recipient
Improved rehabilitation from debilitating ailments,Rehabilitation Care,Direct,Long-Term Care Recipient
Improved nutritional care,Nutritious Meal,Direct,Long-Term Care Recipient
Improved convalescent care,Long Term Care Overnight Stay,Direct,Long-Term Care Recipient
"Improved access to affordable, reliable energy supply",Kilowatt Hour of Electricity (supplied),Direct,Electricity Consumer
"Improved access to low cost, renewable district heating supply",District Heat (supplied),Direct,District Heating Consumer
"Increased access to diverse, affordable library collection",Library Material Accessed,Direct,Library Collection User
Improved access to library facility,Library Facility Booking,Direct,Library Facility User
Improved access to child supervision during the business hours along with childhood development,Child Care Day,Direct,Child
Improved access to funds to support child care supervision during business hours,Child Care Subsidy Payment,Direct,Parent
Improved access to funds to provide subsidized child care,Child Care Provider Subsidy Payment,Direct,Child Care Provider
Improved access to funds to support quality of life during unemployment,Employment Financial Assistance Payment,Direct,Unemployed / Underemployed
Improved access to funds to support benefits for the unemployed,Employment Financial Benefit,Direct,Unemployed / Underemployed
Improved access to employment supports,Employment Referral,Direct,Unemployed / Underemployed
Increased knowledge required to acquire employment,Employment Skills Training Session (Lesson),Direct,Unemployed / Underemployed
Improved employment decision making,Employment Counselling Session,Direct,Unemployed / Underemployed
Improved access to medical care under emergency conditions,Emergency Medical Treatment,Direct,Emergency Medical Care Victim
Improved access to transport of patients requiring medical assistance,Emergency Medical Patient Transport Trip,Direct,Emergency Medical Care Victim
Improved transfer of patients requiring medical assistance between facilities,Inter-Facility Patient Transport Trip,Direct,Health Care Patient
Improved access to care aimed at elderly and frail adults living in their own home,Adult Day Care,Direct,Elderly and Frail Adult
Improved care plan for elderly and frail adults living in their own home,Adult Day Care Case Managed,Direct,Elderly and Frail Adult
Improved enhanced personal care for elderly and frail adults living in their own home,Adult Day Advanced Personal Care,Direct,Elderly and Frail Adult
Improved access to personal care for elderly and frail adults living in their own home,Adult Day Personal Care,Direct,Elderly and Frail Adult
Improved psycho-social wellbeing for elderly and frail adults living in their own home,Adult Day Psycho-social Consultation,Direct,Elderly and Frail Adult
Improved recreational activity for elderly and frail adults living in their own home,Adult Day Recreational Activity,Direct,Elderly and Frail Adult
Improved rehabilitation from debilitating ailments for elderly and frail adults living in their own home,Adult Day Rehabilitation Care,Direct,Elderly and Frail Adult
Improved nutritional carefor elderly and frail adults living in their own home,Adult Day Meal Provided,Direct,Elderly and Frail Adult
Improved assistance for care givers of elderly and frail adults,Adult Day Respite Bed Stay,Direct,Care Giver of Elderly and Frail Adult
Improved homemaking supports for seniors,,Direct,Senior
Improved access to supportive housing accommodation,Supportive Housing Unit,Direct,Mentally Challenged Individual
Improved access to the right supportive housing resources,Supportive Housing Placement,Direct,Mentally Challenged Individual
Improved care of supportive housing residents,Supportive Housing Care,Direct,Mentally Challenged Individual
assistance with managing  personal health and safety,Supportive Housing Case Managed,Direct,Mentally Challenged Individual
assistance with managing  personal health and safety,Supportive Housing Nursing Care Treatment,Direct,Mentally Challenged Individual
assistance with managing  personal health and safety,Supportive Housing Physiotherapy Care Treatment,Direct,Mentally Challenged Individual
assistance with managing  personal health and safety,Supportive Housing Occupational Care Treatment,Direct,Mentally Challenged Individual
assistance with managing  personal health and safety,Supportive Housing Social Care Treatment,Direct,Mentally Challenged Individual
assistance with managing  personal health and safety,Supportive Housing Speech - Language Pathology Care Treatment,Direct,Mentally Challenged Individual
assistance with managing  personal health and safety,Supportive Housing Dietic Care Treatment,Direct,Mentally Challenged Individual
assistance with managing  personal health and safety,Supportive Housing Psychological Care Treatment,Direct,Mentally Challenged Individual
assistance with managing  personal health and safety,Supportive Housing Blind and Visually Impaired Special Care Treatment,Direct,Mentally Challenged Individual
assistance with managing  personal health and safety,Supportive Housing Acquired Hearing Loss Special Care Treatment,Direct,Mentally Challenged Individual
assistance with managing  medications,Supportive Housing Medication Coordinated,Direct,Mentally Challenged Individual
assistance with managing  personal health and safety,Supportive Housing Personal Care Treatment,Direct,Mentally Challenged Individual
assistance with managing  personal health and safety,Supportive Housing Personal Support,Direct,Mentally Challenged Individual
assistance with managing  personal health and safety,Supportive Housing Recreation,Direct,Mentally Challenged Individual
