Parent,Name,Aliases,Description,Service Type,Output,Output Type,Direct Client,Direct Client Service Value,Direct Client Need Category,Beneficial Client,Beneficial Client Service Value,Beneficial Client Need Category,Owner,Sub-Service(s),Needs Category,ProcessesXXX,Comments,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Service Type ""Types""",Service Output Types
Employee Staffing,Employee Recruitment,"Definition:""MRM Service"":""Employee Recruited""","An internal / enabling service offering recruitment of skilled, productive employees to fill job positions.",Internal or Enabling,Employee Recruited,Unit of Resource,Corporation (department),"Greater productivity in recruited employeeImproved fit of recruited employee with role / position",,Prospective Employee,Increased fairness in recruiting employees,,,,,,"Government of Canada calls this Employee Acquisition.  Government of Canada includes Orientation _ Employee Acquisition and Orientation.  Orientation might be considered separately.","Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee Staffing,Employee Separation,"Definition:""MRM Service"":""Employee Fired""",An internal / enabling service offering separation of employees from their employment with the municipality.,Internal or Enabling,Employee Fired,Unit of Resource,Corporation (department),"Reduced disruption resulting from employee's actions / behaviourReduced risk in firing employee",,Fired Employee,Increased fairness in firing employees,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee Staffing,Employee Retirement,"Definition:""MRM Service"":""Employee Retired""",An internal / enabling service offering retirement of employees from active duty.,Internal or Enabling,Employee Retired,Unit of Resource,Corporation (department),"Improved transition of one employee to the replacement employeeReduced disruption in productivity due to retiring employee",,Retired Employee,Increased fairness in retiring employees,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Resource Management,Job and Position Management,,An internal / enabling service offering the oversight and maintenance of job descriptions associated with staff positions.,Internal or Enabling,Job / Position Managed,Rule,Corporation (department),Greater clarity around the role of jobs / positions within the organization.,,Employee,Improved clarity in employee role,,,,,,"Job and Position Management (Government of Canada).  Alternatively, this might be part of Organization Design _ e.g. position descriptions.","Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Resource Management,Volunteer Coordination,"Definition:""MRM Service"":""Volunteer Assigned""","An internal / enabling service offering access to skilled, productive volunteers to provide additional functionality.",Internal or Enabling,Volunteer Assigned,Unit of Resource,Corporation (department),Greater benefit from the allocation of volunteer resources,,Volunteer,"Improved treatment of volunteersImproved allocation of volunteers to fill a desirable role",,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Communications,,An internal / enabling service offering support to the Corporation in terms of imparting information to the public and internally about the Corporation's business activities,Internal or Enabling,Communication Message / Communiqu_,Advisory Encounter,Corporation (department),"Awareness of relevant information about municipal programs and services, and the municipal workplace",,Communication Recipient,"Awareness of relevant information about municipal programs and services, and the municipal workplace",,,"External CommunicationInternal Communication",,,"Might also be considered as a Professional Service, but probably stands alone _ again produces an Output other than Advice.","Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communications,External Communications,,An internal / enabling service offering support to the Corporation in terms of imparting information to the public about the Corporation's business activities,Internal or Enabling,External Communication Message / Communiqu_,Advisory Encounter,Corporation (department),Awareness of relevant information about municipal programs and services,,Communication Recipient,Awareness of relevant information about municipal programs and services,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communications,Internal Communications,,An internal / enabling service offering support to the Corporation in terms of imparting information internally about the Corporation's business activities,Internal or Enabling,Internal Communication Message / Communiqu_,Advisory Encounter,Corporation (department),Awareness of relevant information about municipal programs and services and their workplace,,Communication Recipient,Awareness of relevant information about municipal programs and services and their workplace,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asset Access,"Definition:""MRM Service"":""Asset Managed (Operational)""","An internal / enabling service offering support to the Corporation in terms of the acquisition / construction, maintenance and/or decommissioning / disposal of assets.",Internal or Enabling,Asset Managed (Operational),Unit of Resource,Corporation (department),Improved access to municipal assets,,,,,,"Real Estate ManagementFacilities ManagementFleet ManagementInventory Control / StoresFuel Management",,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Access,Real Estate Access,"Definition:""MRM Service"":""Real Property Managed (square metre)""","An internal / enabling service support to the Corporation in terms of managing all aspects of real property it may own, operate and/or lease.",Internal or Enabling,Real Property Managed (square metre),Unit of Resource,Corporation (department),Improved access to real estate required to deliver programs and services,,,,,,Landfill Site Management,,"Real Estate AcquisitionReal Estate Disposal",,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate Access,Landfill Site Management,"Definition:""MRM Service"":""Landfill Site Operated""",An internal / enabling service offering management of landfill site(s).,Internal or Enabling,Landfill Site Operated,Unit of Resource,Solid Waste Department,Improved access to a facility to dispose of garbage,,,,,,,,"Design Landfill Site Construct Landfill Site Operate Landfill Site Monitor Landfill Site Leachate ",,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Access,Facility Access,"Definition:""MRM Service"":""Facility Managed (square metre)""","An internal / enabling service support to the Corporation in terms of managing all aspects of the facilities it may own, operate and/or lease.",Internal or Enabling,Facility Managed (square metre),Unit of Resource,Corporation (department),Improved facility access,,,,,,"Office Building AccessCommunity Centre Access",,"Facility OperationsFacility Maintenance",,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Access,Office Building Access,"Definition:""MRM Service"":""Office Building Managed (square metre)""","An internal / enabling service support to the Corporation in terms of managing all aspects of the community centres it may own, operate and/or lease.",Internal or Enabling,Office Building Managed (square metre),Unit of Resource,Corporation (department),Improved office building access,,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Access,Community Centre Access,"Definition:""MRM Service"":""Community Centre Managed (square metre)""","An internal / enabling service support to the Corporation in terms of managing all aspects of the office buildings it may own, operate and/or lease.",Internal or Enabling,Community Centre Managed (square metre),Unit of Resource,Corporation (department),Improved community centre access,,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Access,Grounds Maintenance,"Definition:""MRM Service"":""Grounds Maintained""","An internal / enabling service offering maintenance of grounds (i.e. lawns, gardens, walkways, etc.).",Internal or Enabling,Grounds Maintained,Unit of Resource,Corporation (department),Improved maintenance of grounds for the delivery of programs and services,,,,,,"Park Grounds MaintenanceBoulevard Grounds Maintenance",,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grounds Maintenance,Park Grounds Maintenance,,"An internal / enabling service offering maintenance of park grounds (i.e. lawns, gardens, walkways, etc.).",Internal or Enabling,Park Grounds Maintained,Unit of Resource,Corporation (department),Improved maintenance of grounds for the delivery of programs and services,,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grounds Maintenance,Boulevard Grounds Maintenance,,"An internal / enabling service offering maintenance of boulevard grounds (i.e. lawns, gardens, etc.).",Internal or Enabling,Boulevard Grounds Maintained,Unit of Resource,Corporation (department),Improved maintenance of grounds for the delivery of programs and services,,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Access,Fleet Access,"Definition:""MRM Service"":""Fleet Managed (Operational)""",An internal / enabling service offering management of purchased and leased fleet.,Internal or Enabling,Fleet Managed (Operational),Unit of Resource,Corporation (department),Improved access to vehicles of many varieties,,,,,,,,"Fleet Acquisition / LeasingFleet MaintenanceFleet Disposal",,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleet Access,Vehicle Access,"Definition:""MRM Service"":""Vehicle Managed (Operational)""",An internal / enabling service offering management of purchased and leased vehicles.,Internal or Enabling,Vehicle Managed (Operational),Unit of Resource,Corporation (department),Improved access to vehicles,,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleet Access,Truck Access,"Definition:""MRM Service"":""Truck Managed (Operational)""",An internal / enabling service offering management of purchased and leased trucks,Internal or Enabling,Truck Managed (Operational),Unit of Resource,Corporation (department),Improved access to trucks,,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleet Access,Bus Access,"Definition:""MRM Service"":""Bus Managed (Operational)""",An internal / enabling service offering management of purchased and leased buses.,Internal or Enabling,Bus Managed (Operational),Unit of Resource,Corporation (department),Improved access to busses,,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Access,Fuel Access,"Definition:""MRM Service"":""Fuel Distributed""","An internal / enabling service offering expertise in acquiring, storing and distributing fuel.",Internal or Enabling,Fuel Distributed,Unit of Resource,Corporation (department),Improved access to fuel,,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Access,Inventory Control / Stores,,"An internal / enabling service offering expertise in acquiring, storing and distributing consumables, office supplies, etc.",Internal or Enabling,Commodity Distributed,Unit of Resource,Corporation (department),Improved access to business supplies,,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Access,Engineering Design and Construction,,An internal / enabling service offering expertise in designing and constructing engineering projects.,Internal or Enabling,Engineering Design Constructed,Rule,Corporation (department),Improved design of engineering projects to municipal specifications,,,,,,,,,"Not sure this belongs under Asset Management.  Output type for Asset Management should be a _managed asset_, so this doesn_t fit.","Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Information Technology Access,"Definition:""MRM Service"":""Information Technology Managed (Operational)""",An internal / enabling service offering support to the Corporation in terms of information technology solutions.,Internal or Enabling,Information Technology Managed (Operational),Unit of Resource,Corporation (department),Improved access to information technology,,,,,,"Information ManagementBusiness Solution ManagementTechnology Infrastructure Management",,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology Access,Informaton Access,"Definition:""MRM Service"":""Information Accessed""",An internal / enabling service offering access to information to deliver programs and services.,Internal or Enabling,Information Accessed,Rule,Corporation (department),Improved access to information,,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology Access,Business Solution Access,"Definition:""MRM Service"":""Business Solution Accessed""",An internal / enabling service offering access to business solutions to deliver programs and services.,Internal or Enabling,Business Solution Accessed,Rule,Corporation (department),Improved access to business solutions,,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology Access,Technology Infrastructure Access,"Definition:""MRM Service"":""Information Technology Infrastructure Accessed""",An internal / enabling service offering access to information technology infrastructure to deliver programs and services.,Internal or Enabling,Information Technology Infrastructure Accessed,Rule,Corporation (department),Improved access to technology infrastructure,,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Records Access,"Definition:""MRM Service"":""Record Managed (Available)""","An internal / enabling service offering support to the Corporation in terms of classifying, scheduling, storing, retrieving and archiving records.",Internal or Enabling,Record Managed (Available),Unit of Resource,Corporation (department),Improved access to records,,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emergency Management,"Definition:""MRM Service"":""Emergency Management Plan""","An internal / enabling service offering support to the Corporation in terms of planning for, and implementing business continuity plans and disaster recovery plans in the event of an emergency.",Internal or Enabling,Emergency Management Plan,Rule,Corporation (department),Improved response to an emergency based on a pre-defined plan,,,,,,,,,,"Reference Model Working Group - September, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
