Parent,Name,Description,Program Type,Actualized Result,Needs Category,Target Group,Outcomes,Source
,Transportation,A program that focuses on the movement of people and goods through the delivery of appropriate infrastructure and multi-modal opportunities for motorized and non-motorized movement. ,Public,"A safe, multi-modal transportation system with varied opportunities for movement of people and goods.",,Commuters / Travellers,,"Reference Model Working Group - September, 2011"
,Community Development,"A program that aims to achieve a socially progressive and diverse community that offers abundant social and cultural enrichment opportunities, and the opportunity to live a healthy and active lifestyle. ",Public,"A socially progressive and diverse community guided by comprehensive, sustainable community planning offering varied opportunities for cultural enrichment and active living.",,Community Groups,,"Reference Model Working Group - September, 2011"
,Leisure / Recreation,A program that aims to engage people in active living pursuits.,Public,Active residents,,Residents,,"Reference Model Working Group - September, 2011"
,Culture / Heritage,A program that aims to offer cultural and heritage opportunities.,Public,Preserved culture / heritage,,Residents / Visitors,,"Reference Model Working Group - September, 2011"
Culture / Heritage,Heritage,A program that preserves the history of a community.,Public,Preserved heritage,,Residents / Visitors,,"Reference Model Working Group - September, 2011"
Culture / Heritage,Arts,A program that provides access to art as an expression of the community.,Public,Preserved arts,,Residents / Visitors,,"Reference Model Working Group - September, 2011"
,Justice,A program that provides fair and just treatment.,Public,A just society,,,,"Reference Model Working Group - September, 2011"
,Employment,A program that focuses on offering employment supports and choices.,Public,Full employment,,Unemployed / Underemployed,,"Reference Model Working Group - September, 2011"
,Environmental Protection,A program that focuses on the environmental health and vibrancy of the community’s natural assets and how they interface with the built environment. ,Public,"A community that respects its natural environment, minimizes its environmental impact, and adapts to and mitigates climate change.",,Future Generations,,"Reference Model Working Group - September, 2011"
,Governance and Civic Engagement,A program that encompasses the values and processes through which Council works with an engaged citizenry to ensure decisions meet the common good and reflect the values/needs of the community. ,Internal,"Vision, leadership and decision-making for the common good, generated by an informed and engaged community working in collaboration with City government",,Councillors / Public,,"Reference Model Working Group - September, 2011.  Note: description and goal provided by City of Fredericton."
,Corporate ,"A program that encompasses the collaborative and corporate efforts of the organization to plan, finance and support municipal assets, infrastructure and service adelivery.  ",Internal,"Municipal services, assets and infrastructure planned, financed and supported in a sustainable manner.",,Municipal Administration,,"Reference Model Working Group - September, 2011"
Corporate ,Financial Management,A program that accounts for the funds required to operate a municipality.,Internal,Sufficient funds to deliver programs and services,,Municipal Administration,,"Reference Model Working Group - September, 2011"
Corporate ,Human Resource Management,A program that manages the lifecycle of human resource needs of a municipality.,Internal,Sufficient skilled human resources to deliver programs and services,,Municipal Administration,,"Reference Model Working Group - September, 2011"
Corporate ,Asset Management,A program that sustains the assets required to provide municipal services.,Internal,Sustainable assets to deliver programs and services,,Municipal Administration,,"Reference Model Working Group - September, 2011"
Corporate ,Information Management,"A program that enables information to be accessed from the most current, accurate source available.",Internal,Accessible information to deliver programs and services,,Municipal Administration,,"Reference Model Working Group - September, 2011"
