Output,Client,Name
Adult Day Psycho-social Consultation,Elderly and Frail Adult,Improved psycho-social wellbeing for elderly and frail adults living in their own home
Adult Day Recreational Activity,Elderly and Frail Adult,Improved recreational activity for elderly and frail adults living in their own home
Adult Day Rehabilitation Care,Elderly and Frail Adult,Improved rehabilitation from debilitating ailments for elderly and frail adults living in their own home
Adult Day Meal Provided,Elderly and Frail Adult,Improved nutritional carefor elderly and frail adults living in their own home
Adult Day Respite Bed Stay,Care Giver of Elderly and Frail Adult,Improved assistance for care givers of elderly and frail adults
,Senior,Improved homemaking supports for seniors
Supportive Housing Unit,Mentally Challenged Individual,Improved access to supportive housing accommodation
Supportive Housing Placement,Mentally Challenged Individual,Improved access to the right supportive housing resources
Supportive Housing Care,Mentally Challenged Individual,Improved care of supportive housing residents
Supportive Housing Case Managed,Mentally Challenged Individual,assistance with managing  personal health and safety
Supportive Housing Nursing Care Treatment,Mentally Challenged Individual,assistance with managing  personal health and safety
Supportive Housing Physiotherapy Care Treatment,Mentally Challenged Individual,assistance with managing  personal health and safety
Supportive Housing Occupational Care Treatment,Mentally Challenged Individual,assistance with managing  personal health and safety
Supportive Housing Social Care Treatment,Mentally Challenged Individual,assistance with managing  personal health and safety
Supportive Housing Speech - Language Pathology Care Treatment,Mentally Challenged Individual,assistance with managing  personal health and safety
Supportive Housing Dietic Care Treatment,Mentally Challenged Individual,assistance with managing  personal health and safety
Supportive Housing Psychological Care Treatment,Mentally Challenged Individual,assistance with managing  personal health and safety
Supportive Housing Blind and Visually Impaired Special Care Treatment,Mentally Challenged Individual,assistance with managing  personal health and safety
Supportive Housing Acquired Hearing Loss Special Care Treatment,Mentally Challenged Individual,assistance with managing  personal health and safety
Supportive Housing Health Lesson,Mentally Challenged Individual,
Supportive Housing Medication Coordinated,Mentally Challenged Individual,assistance with managing  medications
Supportive Housing Personal Care Treatment,Mentally Challenged Individual,assistance with managing  personal health and safety
Supportive Housing Personal Support,Mentally Challenged Individual,assistance with managing  personal health and safety
Supportive Housing Recreation,Mentally Challenged Individual,assistance with managing  personal health and safety
