Output,Client,Name
Environmental Fire Rescue Incident Mitigated,Property Owner,Reduced loss of property due to environmental fire incident
Vehicle Fire Rescue Incident Mitigated,Property Owner,Reduced loss of property due to vehicle fire incident
Electrical Fire Rescue Incident Mitigated,Property Owner,Reduced loss of property due to electrical fire incident
Fuel Fire Rescue Incident Mitigated,Property Owner,Reduced loss of property due to fuels fire incident
Vehicle Accident Rescue,,
Medical Assistance,,
Rescue,,
Public Assistance,,
Agency Supported,,
Standby Support,,
Hazardous Materials Response,,
Hazardous Materials Response - Level 1,,
Hazardous Materials Response - Level 2,,
Hazardous Materials Response - Level 3,,
Fire Permit Issued,,
School Crossing Guard Posting,,
Police Patrol,,
Police Incident Intervened,Perpetrator,Reduced personal harm or property damage due to incident
Crime Safety Prevention Education Lesson,,
Criminal Record Checked,Employer,Reduced hiring of criminals in potentially risky positions
Animal Registered,,
Dog Registered,,
Cat Registered,,
Exotic Animal Registered,,
Dangerous Animal Registered,,
Right-of-Way Encroachment Permit,,
Utility Cut Permit,,
Boulevard Caf_ Permit,,
Oversize Load Permit,,
Underground Utility Located,,
(Cubic metre of) Drinking Water Supplied,Water Consumer,Improved access to affordable water supply
(Cubic metre of) Wastewater Removed,Wastewater Producer,Improved access to affordable wastewater collection
Public Health  Lesson,,
Child Health Lesson,Child,
Chronic Disease Prevention Lesson,,
Communicable Disease Prevention Lesson,,
Dental / Oral Health Lesson,,
Food Safety Lesson,,
Health Hazard Prevention Lesson,,
Injury Prevention Lesson,,
Substance Abuse Prevention Lesson,,
Reproductive Health Prevention Lesson,,
Public Health Promotional Campaign,,
Child Health Promotional Campaign,Child,
Chronic Disease Prevention Promotional Campaign,,
Communicable Disease Prevention Promotional Campaign,,
Dental / Oral Health Promotional Campaign,,
Food Safety Promotional Campaign,,
Health Hazard Prevention Promotional Campaign,,
Injury Prevention Promotional Campaign,,
Substance Abuse Prevention Promotional Campaign,,
Reproductive Health Promotional Campaign,,
Public Health Advice,,
Child Health Advice,Child,
Chronic Disease Prevention Advice,,
Communicable Disease Prevention Advice,,
Dental / Oral Health Advice,,
Food Safety Advice,,
Health Hazard Prevention Advice,,
Injury Prevention Advice,,
Substance Abuse Advice,,
Reproductive Health Advice,,
Public Heath Treatment,,
Immunization,,
Dental / Oral Treatment,,
Extreme Weather Treatment,,
Public Health Status Report,,
Air Quality Status Report,,
Water Quality Status Report,,
Drinking Water Quality Status Report,,
Recreational Water Quality Status Report,,
Ground Water Quality Status Report,,
Community Health Quality Status Report,,
Public Health Violation (brought into compliance),Business Establishment Patron,
Food Safety Violation (brought into compliance),Food Patron,
Tobacco Sales Violation (brought into compliance),Youth,
(Cubic metre of) Storm Water Drained,,
Tree (healthy),,
Boulevard Tree (healthy),,
Park Tree (healthy),,
Open Space Tree (healthy),,
Water Conservation Promotional Campaign,Future Generations to Come,
Water Consumption Reduction Promotional Campaign,Future Generations to Come,
Wastewater Production Reduction Promotional Campaign,Future Generations to Come,
Ground Water Protection Promotional Campaign,Future Generations to Come,
Life Event Registered,,
Birth Registered,,
Death Registered,,
Deceased Buried,Deceased,Perpetual care
Deceased Buried,Deceased,Perpetual care
Deceased Buried,Deceased,Perpetual care
Marriage Registered,,
Officials Elected (for a term in office),Candidate Elected Official,Improved confidence that the persons elected mayor and councillors have been elected freely and fairly
Election Vote Registered,,
Candidate Registered,,
Voter Registered,,
Councillor Support,,
(Period of Accommodation in an) Assisted Housing Unit,,
Assisted Housing Unit Rent Payment,,
Assisted Housing Provider Payment,Assisted Housing Resident,Improved access to affordable housing accommodation
Shelter Stay,,
Homeless Shelter Stay,,
Abused Women Shelter Stay,,
Domiciliary Hostel Stay,,
Heritage Property Designated,,
Arts / Cultural Grant Award,,
Art Gallery Collection Visit,,
Art Gallery Facility Booking,,
Museum Collection Visit,,
Museum Facility Booking,,
Special Event Hosted,,
Long Term Care Accommodation (stay),,
Personal care,,
Long Term Case Managed,,
Personal care,,
Medication Administration,,
Palliative Care,,
Recreation,,
Pastoral care,,
Psycho-social consultation,,
Rehabilitation Care,,
Nutritious Meal,,
Long Term Care Overnight Stay,,
Kilowatt Hour of Electricity (supplied),,
District Heat (supplied),,
Library Material Accessed,,
Library Facility Booking,,
Child Care Day,Parent,
Child Care Subsidy Payment,Child,
Child Care Provider Subsidy Payment,"Parent
Child",
Employment Financial Assistance Payment,,
Employment Financial Benefit,,
Employment Referral,,
Employment Skills Training Session (Lesson),,
Employment Counselling Session,,
Emergency Medical Treatment,,
Emergency Medical Patient Transport Trip,,
Inter-Facility Patient Transport Trip,,
Adult Day Care,,
Adult Day Care Case Managed,Adult Day Service Provider,
Adult Day Advanced Personal Care,Care Giver of Elderly and Frail Individual,
Adult Day Personal Care,Care Giver of Elderly and Frail Individual,
Adult Day Psycho-social Consultation,Care Giver of Elderly and Frail Individual,
Adult Day Recreational Activity,Care Giver of Elderly and Frail Individual,
Adult Day Rehabilitation Care,Care Giver of Elderly and Frail Individual,
Adult Day Meal Provided,Care Giver of Elderly and Frail Individual,
Adult Day Respite Bed Stay,Elderly and Frail Adult,
,,
Supportive Housing Unit,Family of Mentally Challenged Individual,
Supportive Housing Placement,Family of Mentally Challenged Individual,
Supportive Housing Care,Family of Mentally Challenged Individual,
Supportive Housing Case Managed,Family of Mentally Challenged Individual,
Supportive Housing Nursing Care Treatment,Family of Mentally Challenged Individual,
Supportive Housing Physiotherapy Care Treatment,Family of Mentally Challenged Individual,
Supportive Housing Occupational Care Treatment,Family of Mentally Challenged Individual,
Supportive Housing Social Care Treatment,Family of Mentally Challenged Individual,
Supportive Housing Speech - Language Pathology Care Treatment,Family of Mentally Challenged Individual,
Supportive Housing Dietic Care Treatment,Family of Mentally Challenged Individual,
Supportive Housing Psychological Care Treatment,Family of Mentally Challenged Individual,
Supportive Housing Blind and Visually Impaired Special Care Treatment,Family of Mentally Challenged Individual,
Supportive Housing Acquired Hearing Loss Special Care Treatment,Family of Mentally Challenged Individual,
Supportive Housing Health Lesson,Family of Mentally Challenged Individual,
Supportive Housing Medication Coordinated,Family of Mentally Challenged Individual,
Supportive Housing Personal Care Treatment,Family of Mentally Challenged Individual,
Supportive Housing Personal Support,Family of Mentally Challenged Individual,
Supportive Housing Recreation,Family of Mentally Challenged Individual,
